Date,Open,High,Low,Close,Adj Close,Volume
1/11/2021,19.41,20.65,19.01,19.940001,19.940001," 14,927,600.00 "
1/12/2021,19.959999,20.4,19.32,19.950001,19.950001," 7,060,700.00 "
1/13/2021,20.42,38.650002,20.030001,31.4,31.4," 144,501,700.00 "
1/14/2021,38.09,43.060001,33.049999,39.91,39.91," 93,717,400.00 "
1/15/2021,38.490002,40.75,34.009998,35.5,35.5," 46,866,400.00 "
1/19/2021,41.549999,45.52,36.639999,39.360001,39.360001," 74,721,900.00 "
1/20/2021,37.369999,41.189999,36.060001,39.119999,39.119999," 33,471,800.00 "
1/21/2021,39.23,44.75,37,43.029999,43.029999," 57,079,800.00 "
1/22/2021,42.59,76.760002,42.32,65.010002,65.010002," 197,157,900.00 "
1/25/2021,96.730003,159.179993,61.130001,76.790001,76.790001," 177,874,000.00 "
1/26/2021,88.559998,150,80.199997,147.979996,147.979996," 178,588,000.00 "
1/27/2021,354.829987,380,249,347.51001,347.51001," 93,396,700.00 "
1/28/2021,265,483,112.25,193.600006,193.600006," 58,815,800.00 "
1/29/2021,379.709991,413.980011,250,325,325," 50,259,200.00 "
2/1/2021,316.559998,322,212,225,225," 37,382,200.00 "
2/2/2021,140.759995,158,74.220001,90,90," 78,183,100.00 "
2/3/2021,112.010002,113.400002,85.25,92.410004,92.410004," 42,698,500.00 "
2/4/2021,91.190002,91.5,53.330002,53.5,53.5," 62,427,300.00 "
2/5/2021,54.040001,95,51.09,63.77,63.77," 80,886,300.00 "
2/8/2021,72.410004,72.660004,58.02,60,60," 25,687,300.00 "
2/9/2021,56.610001,57,46.52,50.310001,50.310001," 26,843,100.00 "
2/10/2021,50.77,62.830002,46.549999,51.200001,51.200001," 36,455,000.00 "
2/11/2021,50.009998,55.32,48.220001,51.099998,51.099998," 12,997,400.00 "
2/12/2021,50.75,55.240002,48.049999,52.400002,52.400002," 14,498,000.00 "
2/16/2021,52.66,53.5,49.040001,49.509998,49.509998," 8,175,000.00 "
2/17/2021,49.77,51.189999,44.560001,45.939999,45.939999," 9,186,800.00 "
2/18/2021,48.490002,48.869999,40.650002,40.689999,40.689999," 23,990,600.00 "
2/19/2021,41.279999,43.889999,38.5,40.59,40.59," 14,828,200.00 "
2/22/2021,46.689999,48.509998,42.400002,46,46," 19,476,000.00 "
2/23/2021,44.970001,46.23,40,44.970001,44.970001," 7,565,200.00 "
2/24/2021,44.700001,91.709999,44.700001,91.709999,91.709999," 83,111,700.00 "
2/25/2021,169.559998,184.679993,101,108.730003,108.730003," 150,308,800.00 "
2/26/2021,117.459999,142.899994,86,101.739998,101.739998," 91,963,000.00 "
3/1/2021,104.540001,133.990005,99.970001,120.400002,120.400002," 49,597,300.00 "
3/2/2021,116.93,133.199997,112.199997,118.18,118.18," 33,640,400.00 "
3/3/2021,122.510002,127.75,113.120003,124.18,124.18," 19,173,700.00 "
3/4/2021,125,147.869995,115.300003,132.350006,132.350006," 32,473,600.00 "
3/5/2021,128.169998,151.529999,127.5,137.740005,137.740005," 30,660,200.00 "
3/8/2021,154.889999,210.869995,146.100006,194.5,194.5," 63,424,800.00 "
3/9/2021,217.710007,249.850006,208.509995,246.899994,246.899994," 38,725,800.00 "
3/10/2021,269.429993,348.5,172,265,265," 71,361,900.00 "
3/11/2021,241.639999,281.5,232.600006,260,260," 28,186,000.00 "
3/12/2021,275,295.5,262.269989,264.5,264.5," 25,760,700.00 "
3/15/2021,277.519989,283,206,220.139999,220.139999," 24,100,400.00 "
3/16/2021,203.160004,220.699997,172.350006,208.169998,208.169998," 35,241,900.00 "
3/17/2021,217.839996,231.470001,204,209.809998,209.809998," 16,259,300.00 "
3/18/2021,214,218.880005,195.649994,201.75,201.75," 11,764,900.00 "
3/19/2021,195.729996,227,182.660004,200.270004,200.270004," 24,552,100.00 "
3/22/2021,205.259995,210.360001,186.199997,194.490005,194.490005," 10,061,500.00 "
3/23/2021,197.5,201.75,177.550003,181.75,181.75," 14,429,100.00 "
3/24/2021,157.979996,166.970001,118.620003,120.339996,120.339996," 24,177,900.00 "
3/25/2021,123.489998,187.5,116.900002,183.75,183.75," 50,962,300.00 "
3/26/2021,197.679993,218.929993,163.259995,181,181," 37,371,900.00 "
3/29/2021,180.75,193.919998,173.509995,181.300003,181.300003," 10,042,200.00 "
3/30/2021,187.5,204.300003,182,194.460007,194.460007," 17,094,900.00 "
3/31/2021,197.5,199.460007,187.110001,189.820007,189.820007," 8,393,800.00 "
4/1/2021,193.360001,196.970001,183.600006,191.449997,191.449997," 9,334,300.00 "
4/5/2021,171,195,164.809998,186.949997,186.949997," 14,070,500.00 "
4/6/2021,185.210007,192,183.559998,184.5,184.5," 6,218,300.00 "
4/7/2021,183.220001,184.5,176.110001,177.970001,177.970001," 4,768,300.00 "
4/8/2021,185.880005,185.880005,164.300003,170.259995,170.259995," 10,047,400.00 "
4/9/2021,169.699997,171.580002,153,158.360001,158.360001," 9,442,000.00 "
4/12/2021,158.110001,163.899994,135.009995,141.089996,141.089996," 16,683,600.00 "
4/13/2021,141.880005,145.380005,132,140.990005,140.990005," 6,806,900.00 "
4/14/2021,143.570007,174.089996,143,166.529999,166.529999," 21,138,100.00 "
4/15/2021,163,166.25,152.800003,156.440002,156.440002," 7,836,900.00 "
